road,id,model_type,name,lat,lon,length,condition
N1,100284,bridge,LRP187b,22.7445136523437,91.5943998915364,8.1,B
N1,100285,link,LRP189,22.7435552,91.5949163,2000.0,R
N1,100286,bridge,LRP190a,22.723316755473,91.6024331404452,3.0,A
N1,100287,link,LRP191a,22.7221104,91.6030833,460.9999999999843,R
N1,100288,bridge,LRP191a,22.7178243865384,91.6057623307692,3.0,A
N1,100289,link,LRP192a,22.7165556,91.6065556,290.00000000002046,R
N1,100290,bridge,LRP191c,22.7138727382812,91.6082352218749,19.2,C
N1,100291,link,LRP193a,22.7124167,91.6090556,1153.9999999999964,R
N1,100292,bridge,LRP193a,22.701816503937,91.6149734608923,19.2,A
N1,100293,link,LRP194c,22.7002222,91.61577779999999,1003.9999999999907,R
N1,100294,bridge,LRP194a,22.6912517148148,91.6201690574074,4.2,A
N1,100295,link,LRP196,22.6904163,91.62052709999999,98.00000000001319,R
N1,100296,bridge,LRP195a,22.6868697647058,91.6220385823529,3.2,A
N1,100297,link,LRP196b,22.685083,91.6228327,317.0000000000073,R
N1,100298,bridge,LRP196a,22.6769772991044,91.6268169453731,6.0,A
N1,100299,link,LRP197a,22.6769438,91.62683270000001,581.0000000000173,R
N1,100300,bridge,LRP197a,22.6699594391304,91.6293531695652,3.0,A
N1,100301,link,LRP198c,22.6678604,91.6301104,0.0,R
N1,100302,bridge,LRP197b,22.6657838981081,91.6311293581081,3.0,A
N1,100303,link,LRP199,22.6649167,91.63155490000001,137.9999999999768,R
N1,100304,bridge,LRP198a,22.6615956814814,91.6335257425926,3.0,A
N1,100305,link,LRP199b,22.6596667,91.6347219,322.00000000003115,R
N1,100306,bridge,LRP199a,22.6547124294117,91.6379261764705,3.1,A
N1,100307,link,LRP200a,22.6543889,91.63813859999999,208.99999999997476,R
N1,100308,bridge,LRP199b,22.6510709547445,91.6400341194647,4.6,A
N1,100309,link,LRP201,22.6494997,91.640833,67.00000000000728,R
N1,100310,bridge,LRP199c,22.6474561112311,91.6419171170626,12.4,A
N1,100311,link,LRP201b,22.645277399999998,91.6430552,469.99999999999886,R
N1,100312,bridge,LRP201a,22.636096590965,91.648209240657,3.0,A
N1,100313,link,LRP202a,22.6338608,91.64947190000001,222.0000000000084,R
N1,100314,bridge,LRP202a,22.6281666352941,91.6527578258312,3.0,A
N1,100315,link,LRP203b,22.625916,91.6541389,0.0,R
N1,100316,bridge,LRP202b,22.6258323373493,91.6541857554217,6.1,B
N1,100317,link,LRP204,22.625221600000003,91.6545278,219.0000000000225,R
N1,100318,bridge,LRP203a,22.6230461711711,91.6554672531531,3.0,A
N1,100319,link,LRP204b,22.620693799999998,91.6563611,182.99999999999272,R
N1,100320,bridge,LRP203b,22.6177563490118,91.6580589438735,3.0,A
N1,100321,link,LRP204f,22.6175271,91.65825,106.99999999999932,R
N1,100322,bridge,LRP204a,22.6149899686274,91.6602670503268,4.6,A
N1,100323,link,LRP205b,22.6123889,91.6622222,0.0,R
N1,100324,bridge,LRP205a,22.6117556741935,91.6625686731182,3.0,A
N1,100325,link,LRP206,22.609444399999997,91.6638333,72.00000000000273,R
N1,100326,bridge,LRP206a,22.6038394411764,91.6673745588235,2.95,A
N1,100327,link,LRP207,22.6015833,91.66883270000001,294.00000000001114,R
N1,100328,bridge,LRP206c,22.5971665766519,91.671819207489,9.3,B
N1,100329,link,LRP207d,22.594221899999997,91.6737771,24.999999999977263,R
N1,100330,bridge,LRP207a,22.5938881803921,91.6738889367647,4.5,A
N1,100331,link,LRP208a,22.5907497,91.6754716,0.0,R
N1,100332,bridge,LRP208a,22.5870350167767,91.6770444686922,22.25,C
N1,100333,link,LRP209,22.584583,91.6780827,143.0000000000291,R
N1,100334,bridge,LRP208d,22.5815086746355,91.6795390413994,2.5,A
N1,100335,link,LRP209c,22.580666,91.67994379999999,330.99999999998886,R
N1,100336,bridge,LRP209a,22.5767930229508,91.68162274153,10.2,A
N1,100337,link,LRP210,22.5763604,91.68180490000002,394.9999999999818,R
N1,100338,bridge,LRP210a,22.5702905930578,91.6840096656198,3.0,A
N1,100339,link,LRP211,22.5679716,91.6846941,178.0000000000257,R
N1,100340,bridge,LRP210d,22.5664212916363,91.6851826636363,4.5,A
N1,100341,link,LRP211b,22.5641389,91.68591629999999,546.9999999999686,R
N1,100342,bridge,LRP211a,22.5585210862619,91.687506242492,4.1,A
N1,100343,link,LRP213,22.551416699999997,91.6896941,175.00000000001137,R
N1,100344,bridge,LRP213a,22.5467727210909,91.6926260603636,3.0,A
N1,100345,link,LRP214,22.543888600000002,91.69452740000001,119.0000000000282,R
N1,100346,bridge,LRP214a,22.5390300234693,91.6965452744898,8.2,A
N1,100347,link,LRP215,22.5354997,91.6979441,90.00000000000341,R
N1,100348,bridge,LRP215a,22.5303678038461,91.7004641228571,3.0,A
N1,100349,link,LRP216,22.5273049,91.7019444,0.0,R
N1,100350,bridge,LRP215b,22.5229359167189,91.7038366163009,16.3,B
N1,100351,link,LRP216a,22.519416,91.70536109999999,821.0000000000264,R
N1,100352,bridge,LRP217a,22.5113471164122,91.7087907889313,27.0,C
N1,100353,link,LRP218,22.510611100000002,91.7090833,413.00000000003934,R
N1,100354,bridge,LRP218a,22.5060220437735,91.7112848218867,4.5,A
N1,100355,link,LRP218e,22.503,91.7128056,56.99999999995953,R
N1,100356,bridge,LRP218b,22.5000858335766,91.7141504905109,17.6,A
N1,100357,link,LRP219a,22.4969163,91.7155556,314.9999999999977,R
N1,100358,bridge,LRP219a,22.4904405976324,91.7182726733934,3.0,B
N1,100359,link,LRP220a,22.486944100000002,91.7192771,0.0,R
N1,100360,bridge,LRP220a,22.4855480068965,91.7195309517241,4.5,A
N1,100361,link,LRP221,22.4854163,91.7195549,297.00000000002547,R
N1,100362,bridge,LRP220b,22.4811642144766,91.7203633632516,24.33,D
N1,100363,link,LRP221b,22.4775271,91.72105490000001,114.00000000003274,R
N1,100364,bridge,LRP221a,22.4728530893544,91.7232633541336,6.0,A
N1,100365,link,LRP222a,22.4694438,91.72505490000002,135.99999999999568,R
N1,100366,bridge,LRP223a,22.4624386352,91.7285307,23.2,B
N1,100367,link,LRP224,22.4603056,91.72958270000001,1017.9999999999723,R
N1,100368,bridge,LRP224a,22.4488628503871,91.7342823894358,3.0,A
N1,100369,link,LRP226,22.443388600000002,91.73641629999999,135.00000000001933,R
N1,100370,bridge,LRP226a,22.4375035216216,91.7386659473513,3.0,A
N1,100371,link,LRP227,22.434971899999997,91.7396941,939.9999999999977,R
N1,100372,bridge,LRP228a,22.4220415536,91.7480209792,35.1,B
N1,100373,link,LRP229,22.4198882,91.74977740000001,2000.0,R
N1,100374,bridge,LRP230a,22.4030145445,91.75657411625,5.0,A
N1,100375,link,LRP231a,22.3996108,91.7573333,111.00000000001842,R
N1,100376,bridge,LRP231a,22.3963398830265,91.7582551580777,3.0,A
N1,100377,link,LRP232,22.3944997,91.7586944,59.00000000002592,R
N1,100378,bridge,LRP231b,22.3927175345622,91.7590882138248,18.0,A
N1,100379,link,LRP232b,22.3921108,91.75925,723.9999999999611,R
N1,100380,bridge,LRP232a,22.38524588272,91.76250565776,3.0,A
