,length,condition,lat,lon,intersection,model_type,id,road,name,chainage,economic_importance,road_segment
242,5.3,B,23.11582516,91.33509449,,bridge,10242,N1,,137.62496,15459680.0,N1-25
243,1076.0,N,23.1116268,91.33757201,0,link,10243,N1,,138.70095999999998,15459680.0,N1-26
244,6.1,A,23.10742845,91.34004954,,bridge,10244,N1,,138.70705999999998,15459680.0,N1-26
245,718.0,N,23.10459238,91.34160627,0,link,10245,N1,,139.42505999999997,15459680.0,N1-26
246,3.1,B,23.10175632,91.343163,,bridge,10246,N1,,139.42815999999996,15459680.0,N1-26
247,553.0,N,23.09955379,91.34432931,0,link,10247,N1,,139.98115999999996,15459680.0,N1-26
248,9.5,B,23.09735125,91.34549563,,bridge,10248,N1,,139.99065999999996,15459680.0,N1-26
249,548.0,N,23.09519054,91.34666323,0,link,10249,N1,,140.53865999999996,21132560.0,N1-27
250,3.1,A,23.09302984,91.34783084,,bridge,10250,N1,,140.54175999999995,21132560.0,N1-27
251,749.0,N,23.0900526,91.34952049,0,link,10251,N1,,141.29075999999995,21132560.0,N1-27
252,9.25,B,23.08707537,91.35121015,,bridge,10252,N1,,141.30000999999996,21132560.0,N1-27
253,652.0,N,23.08453316,91.35269565,0,link,10253,N1,,141.95200999999994,21132560.0,N1-27
254,3.5,A,23.08199095,91.35418115,,bridge,10254,N1,,141.95550999999995,21132560.0,N1-27
255,524.0,N,23.07997783,91.35539083,0,link,10255,N1,,142.47950999999995,21132560.0,N1-27
256,14.2,B,23.0779647,91.3566005,,bridge,10256,N1,,142.49370999999994,21132560.0,N1-27
257,957.0,N,23.07408144,91.35845135,0,link,10257,N1,,143.45070999999993,21132560.0,N1-28
258,6.1,B,23.07019818,91.3603022,,bridge,10258,N1,,143.45680999999993,21132560.0,N1-28
259,1097.0,N,23.06547276,91.36108233,0,link,10259,N1,,144.55380999999994,21132560.0,N1-28
260,4.0,B,23.06074733,91.36186246,,bridge,10260,N1,,144.55780999999993,21132560.0,N1-28
261,2578.0,N,23.04936007,91.36377047,0,link,10261,N1,,147.13580999999994,23068960.0,N1-29
262,10.8,A,23.03797281,91.36567847,,bridge,10262,N1,,147.14660999999992,23068960.0,N1-29
263,1262.0,N,23.03247646,91.36558948,0,link,10263,N1,,148.40860999999992,23068960.0,N1-29
264,1.6,A,23.02698012,91.36550048,,bridge,10264,N1,,148.41020999999992,23068960.0,N1-29
265,2146.0,N,23.01969248,91.37174005,0,link,10265,N1,,150.5562099999999,20280480.0,N1-30
266,3.4,A,23.01240484,91.37797961,,bridge,10266,N1,,150.5596099999999,20280480.0,N1-30
267,470.0,N,23.01098022,91.37967001,0,link,10267,N1,,151.0296099999999,20280480.0,N1-30
268,4.0,,23.009555600000002,91.3813604,N104,intersection,10268,N1,,151.0336099999999,20280480.0,N1-30
269,1887.0,N,23.00440218,91.38856779999999,0,link,10269,N1,,152.9206099999999,20280480.0,N1-30
270,1.5,A,22.99924876,91.3957752,,bridge,10270,N1,,152.9221099999999,20280480.0,N1-30
271,855.0,N,22.99698842,91.39903235,0,link,10271,N1,,153.77710999999988,20280480.0,N1-30
272,23.4,A,22.99472808,91.40228949,,bridge,10272,N1,,153.8005099999999,20280480.0,N1-30
273,23.0,N,22.99466085,91.4023717,0,link,10273,N1,,153.82350999999989,20280480.0,N1-30
274,22.15,A,22.99459361,91.40245391,,bridge,10274,N1,,153.8456599999999,20280480.0,N1-30
275,321.0,N,22.99365527,91.40360129999999,0,link,10275,N1,,154.1666599999999,20280480.0,N1-30
